,Name,Category of registration,Revenue,Nb employees,GUO Name,GUO Revenue,GUO Nb employees,BvD ID,Degree
4257,Coolbrook Oy,Companies and groups,6416.6625213623,13.0,COOLBROOK OY,6.0,13.0,FI24196300,1.0
4258,Institute of International Finance,Trade and business associations,15000.0,70.0,"INSTITUTE OF INTERNATIONAL FINANCE, INC. (THE)",15.0,70.0,US131279449L,7.0
4259,RESPIRE – Association nationale pour l’amélioration de la qualité de l’air et la défense des victimes de la pollution de l’air,"Non-governmental organisations, platforms and networks and similar",,, ,,,FR532334588,2.0
4260,Aalborg Universitet,Academic institutions,,3750.0,AALBORG UNIVERSITET,,3750.0,DK29102384,3.0
4261,Confédération Générale du Travail Force Ouvrière,Trade unions and professional associations,,,,,,,1.0
4262,ASD-Eurospace,Trade and business associations,,,,,,,11.0
4263,European Sustainable Investment Forum,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0847087538,3.0
4264,Synopsys Inc.,Companies and groups,5081542.0,19000.0,SYNOPSYS INC,5082.0,19000.0,US561546236,1.0
4265,Electronic Frontier Foundation,"Non-governmental organisations, platforms and networks and similar",15300.0,18.0,ELECTRONIC FRONTIER FOUNDATION,15.0,18.0,US123964862L,4.0
4266,FoundationInternational Center for Ukrainian Victory,,,,,,,,2.0
4267,League of European Research Universities,Think tanks and research institutions,,1.0,,,,BE0859564015,1.0
4268,Hospodářská komora České republiky,Trade and business associations,6631.00685924292,150.0,,,,CZ49279530,1.0
4269,Green Planet Energy,Companies and groups,182938.667744373,157.0,GREEN PLANET ENERGY EG,183.0,157.0,DE2150900534,3.0
4270,Stichting Solidaridad Nederland,"Non-governmental organisations, platforms and networks and similar",19584.9653254709,34.0,STICHTING SOLIDARIDAD NEDERLAND,20.0,34.0,NL41150939,5.0
4271,CIP - Confederação Empresarial de Portugal,Trade and business associations,2299.89034434021,23.0,,,,PT500835934,4.0
4272,"GLOBAL 2000, Friends of the Earth Austria","Non-governmental organisations, platforms and networks and similar",,,,,,,2.0
4273,ECOLAB,Companies and groups,14187800.0,47000.0,ECOLAB INC,14188.0,47000.0,US410231510,4.0
4274,ICEYE Oy,Companies and groups,57918.4854114056,411.0,ICEYE OY,58.0,411.0,FI26398221,1.0
4275,EUCED - Instituição Europeia de Cooperação Económica e Desenvolvimento,Trade and business associations,,,,,,PT510287255,1.0
4276,VELUX A/S (VELUX Group),Companies and groups,2715785.43797135,1299.0,VILLUM FONDEN,,15.0,DK30003519,2.0
4277,Self-Care in Europe,"Non-governmental organisations, platforms and networks and similar",,,MONSIEUR JACQUES KALIFA MORGAN,,,BE0630919177,2.0
4278,European Regional and Local Health Authorities,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0843942560,2.0
4279,Tarkett,Companies and groups,3593693.6557889,12696.0,SOCIETE INVESTISSEMENT DECONINCK,0.0,,FR352849327,1.0
4280,Uber,Companies and groups,75701.0915890145,80.0,"UBER TECHNOLOGIES, INC.",31877.0,32800.0,FR539454942,21.0
4281,European Council for Motor Trades and Repairs,Trade and business associations,,,,,,,8.0
4282,Platform for electromobility,"Non-governmental organisations, platforms and networks and similar",,,,,,,2.0
4283,Zoologische Gesellschaft Frankfurt von 1858 e.V.,"Non-governmental organisations, platforms and networks and similar",18472.7110147476,1277.0,ZOOLOGISCHE GESELLSCHAFT FRANKFURT VON 1858,18.0,1277.0,DE6070070832,1.0
4284,Wetlands International - European Association,"Non-governmental organisations, platforms and networks and similar",,,,,,NL58891641,2.0
4285,EIDD - Design for All Europe,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
4286,Union Européenne des Médecins Spécialistes,Trade unions and professional associations,,11.0,,,,BE0469067848,2.0
4287,GASCADE Gastransport GmbH,Companies and groups,,475.0,THOR INDUSTRIES INC,16313.0,32000.0,DE6150339447,4.0
4288,Danish Trade Union Confederation EU Office,Trade unions and professional associations,,1.0,,,,BE0763947254,4.0
4289,eco - Verband der Internetwirtschaft,Trade and business associations,,27.0,ECO - VERBAND DER INTERNETWIRTSCHAFT E.V.,,27.0,DE5190733402,1.0
4290,The Regulatory Assistance Project,"Non-governmental organisations, platforms and networks and similar",1830.0,20.0,"REGULATORY ASSISTANCE PROJECT, THE",2.0,20.0,US205969671L,4.0
4291,MSC Mediterranean Shipping Company S.A.,Companies and groups,,15.0,MR APONTE GIANLUIGI,,,CHCHE111954803,2.0
4292,European DIGITAL SME Alliance,Trade and business associations,,7.0,,,,BE0899786252,7.0
4293,Discord Inc.,Companies and groups,70900.0,290.0,DISCORD INC.,71.0,290.0,US296361275L,4.0
4294,AGORIA,Trade and business associations,42343.1496040648,190.0,AGORIA,42.0,190.0,BE0406605390,4.0
4295,"Illumina, Inc.",Companies and groups,4584000.0,11560.0,ILLUMINA INC,4584.0,11560.0,US330804655,7.0
4296,The European Institute for Innovation through Health Data,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0628646310,1.0
4297,Virus Matemático,,,,,,,,1.0
4298,Bulgarian Judges Association,,,2.0,,,,BG121415520,1.0
4299,Fundación Empresarial Comunidad Europea Chile,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
4300,STARBURST ACCELERATOR,,,,STARBURST PTE LTD,,,FR805232063,1.0
4301,La Coop des Communs,Think tanks and research institutions,,, ,,,FR902552124,1.0
4302,Deloitte Tax & Consulting,Companies and groups,312367.189404259,,DELOITTE TAX & CONSULTING SARL,312.0,,LULB165178,3.0
4303,Lenzing AG,Companies and groups,2809280.1277411,8301.0,B & C PRIVATSTIFTUNG,,3.0,AT9070004112,9.0
4304,Health Data Hub / Plateforme des données de santé,"Other organisations, public or mixed entities",,,,,,,1.0
4305,BEL,Companies and groups,3834425.16028881,1092.0,GROUPE FAMILIAL FIEVET - BEL,,,FR542088067,2.0
4306,Inland Navigation Europe,Associations and networks of public authorities,,,DAIRO SPF S.A,,,LULB78719,4.0
4307,Center for European Policy Analysis,Think tanks and research institutions,4080.0,15.0,,,,US208099947L,4.0
4308,VIER PFOTEN International,"Non-governmental organisations, platforms and networks and similar",,,,,,AT*110295716557,3.0
4309,Covestro AG,Companies and groups,19309717.1354294,17985.0,COVESTRO AG,19310.0,17985.0,DE5330324269,3.0
4310,Snam S.p.A.,Companies and groups,3757629.99713421,3610.0,SNAM S.P.A.,3758.0,3610.0,IT13271390158,20.0
4311,Kirkon Ulkomaanapu sr (Finn Church Aid),"Non-governmental organisations, platforms and networks and similar",319.979846477509,375.0,,,,FI09984544,2.0
4312,Land&Forst Betriebe Österreich / Association of Austrian Land and Forest Owners,Trade and business associations,,,,,,ATLEI855819,3.0
4313,ALLRAIL Alliance of Rail New Entrants,Trade and business associations,,,,,,,2.0
4314,Thorn,"Non-governmental organisations, platforms and networks and similar",,,TUSK INVESTMENTS LP INC,,,GB03182775,6.0
4315,FEDERCASSE - Federazione Italiana delle Banche di Credito Cooperativo Casse Rurali e Artigiane,Trade and business associations,,,,,,IT*904075796,2.0
4316,Expedia Group,Companies and groups,11667000.0,16500.0,"EXPEDIA GROUP, INC.",11667.0,16500.0,US202705720,9.0
4317,AIRPORT SERVICES ASSOCIATION,,,,,,,CH*Q0007751227,1.0
4318,Association of the European Self-Care Industry,Trade and business associations,,7.0,,,,BE0850689703,13.0
4319,All Policies for a Healthy Europe,"Non-governmental organisations, platforms and networks and similar",,,,,,,5.0
4320,Identity Matters Consulting,,,,,,,,1.0
4321,eClear AG,,,66.0,MR ROMAN MARIA KOIDL,,,DE2012635310,1.0
4322,Wirtschaftsforum der SPD e.V.,Trade and business associations,,17.0,,,,DE2012616689,1.0
4323,BSA | The Software Alliance,Trade and business associations,241215.242432594,,BSA LIMITED,241.0,,AU088412748,5.0
4324,Fundacja Instytut na rzecz Państwa Prawa,"Non-governmental organisations, platforms and networks and similar",396.811178326607,,FUNDACJA - INSTYTUT NA RZECZ PANSTWA PRAWA,0.0,,PL432322189,2.0
4325,The Coca-Cola Company,Companies and groups,43004000.0,82500.0,COCA-COLA COMPANY (THE),43004.0,82500.0,US580628465,7.0
4326,Društvo za oblikovanje održivog razvoja,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
4327,Ukrainian Business and Trade Association,Trade and business associations,,,,,,BE0740629939,4.0
4328,"Východoslovenská energetika Holding, a.s.",Companies and groups,63609.8602807522,297.0,SLOVAKIAN REPUBLIC,,,SK36211222,2.0
4329,Agilent Technologies LDA UK Limited,Companies and groups,188455.984820334,501.0,AGILENT TECHNOLOGIES INC,6848.0,18100.0,GB08815891,1.0
4330,EU-LIFE,"Non-governmental organisations, platforms and networks and similar",545.085593812472,5.0,,,,PT510786146,1.0
4331,SEC NEWGATE EU,Professional consultancies,,27.0,SEC NEWGATE S.P.A.,101.0,40.0,BE0474988610,5.0
4332,Railforum Nederland,Think tanks and research institutions,,4.0,,,,NL40412887,1.0
4333,Fastweb S.p.A.,Companies and groups,2692114.17395592,2895.0,SCHWEIZERISCHE EIDGENOSSENSCHAFT,,,IT12878470157,4.0
4334,American Chamber of Commerce in Lithuania,,,25.0,AMERICAN CHAMBER OF COMMERCE IN GERMANY E.V.,,25.0,DE2010202676,1.0
4335,Terrestrial Jerusalem,,,,,,,IL64-915-3186,1.0
4336,Airport Regions Council,Professional consultancies,,1.0,,,,BE0472917659,1.0
4337,Institut Curie,Academic institutions,296158.0,, ,,,FR784257164,1.0
4338,Nord Stream 2 AG,,,160.0,GOVERNMENT OF THE RUSSIAN FEDERATION,,,CHCHE444239548,1.0
4339,Asociatia Transilvania IT,"Non-governmental organisations, platforms and networks and similar",,,,,,RO30559935,4.0
4340,Fortum Oyj,Companies and groups,200804419.256449,7712.0,SUOMEN VALTIO/ALV,0.0,2.0,FI14636114,22.0
4341,BlueBay Asset Management LLP,Companies and groups,196335.914976597,,ROYAL BANK OF CANADA,34583.0,91427.0,GBOC370085,1.0
4342,Groupe d'animation du quartier européen de la ville de Bruxelles,,,,,,,BE0422721446,1.0
4343,Stowarzyszenie AGROEKOTON,,133.127360165119,,,,,PL387336013,2.0
4344,Latvijas Brīvo arodbiedrību savienība,Trade unions and professional associations,,34.0,,,,LV000804385,2.0
4345,aditus foundation,"Non-governmental organisations, platforms and networks and similar",2022.0,9.0,,,,US322084514L,1.0
4346,Nouryon,Companies and groups,459578.164894998,512.0,"CARLYLE EUROPE PARTNERS V, S.C.SP.",,,DE8171134719,1.0
4347,Finnwatch ry,"Non-governmental organisations, platforms and networks and similar",106.659948825836,7.0,,,,FI23370856,2.0
4348,European Skippers Organisation - vzw,Trade unions and professional associations,,,,,,,2.0
4349,Brussels Airlines SA/NV,Companies and groups,1383379.02110354,2430.0,DEUTSCHE LUFTHANSA AG,35664.0,109509.0,BE0400853488,8.0
4350,Grand Port Fluvio-maritime de l'Axe Seine,"Other organisations, public or mixed entities",,, ,,,FR899614804,3.0
4351,OGM dangers,"Non-governmental organisations, platforms and networks and similar",,, ,,,FR502138654,1.0
4352,Nederlands Agrarisch Jongeren Kontakt,"Non-governmental organisations, platforms and networks and similar",,36.0,,,,NL40483585,2.0
4353,World Association of News Publishers,Trade unions and professional associations,,,,,,,2.0
4354,Mazars SC,Companies and groups,304469.846,,MAZARS,62.0,,FR784824153,1.0
4355,Platform for International Cooperation on Undocumented Migrants,"Non-governmental organisations, platforms and networks and similar",,10.0,,,,BE0476219520,10.0
4356,Federation of Trade Unions of Ukraine,Trade unions and professional associations,,,,,,,2.0
4357,CONFCOMMERCIO - IMPRESE PER L'ITALIA,Trade and business associations,,,CONFCOMMERCIO IMPRESE PER L'ITALIA,,,IT80041130586,2.0
4358,TotalEnergies SE,Companies and groups,263536000.0,101279.0,TOTALENERGIES SE,263536.0,101279.0,FR542051180,24.0
4359,EUROPA COLLEGE STICHTING VAN OPENBAAR NUT,Academic institutions,,,,,,,2.0
4360,Prime Collateralised Securities (PCS) Europe asbl,Companies and groups,,,PRIME COLLATERALISED SECURITIES (PCS) EUROPE ASBL,,,BE*110353400410,1.0
4361,QUALCOMM Incorporated,Companies and groups,44200000.0,51000.0,QUALCOMM INC,44200.0,51000.0,US953685934,10.0
4362,DZ BANK AG,Companies and groups,7023557.63018131,32985.0,"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",7033.0,32985.0,DEFEB17881,2.0
4363,Compagnie de SAINT-GOBAIN,Companies and groups,54606694.0003633,170714.0,COMPAGNIE DE SAINT-GOBAIN,54607.0,170714.0,FR542039532,11.0
4364,Tata Steel Nederland,Companies and groups,7664128.14426422,11355.0,TATA STEEL LIMITED,30239.0,67784.0,NL34005278,10.0
4365,Proton AG,Companies and groups,,,,,,DK43025139,2.0
4366,Community Land Trust Bruxelles,"Non-governmental organisations, platforms and networks and similar",1124.5873026365,14.0,,,,BE0834097357,1.0
4367,European Centre for International Political Economy,Think tanks and research institutions,0.118472181260586,0.0,,,,SE8024307657,1.0
4368,European Association of Development Agencies,Associations and networks of public authorities,,,,,,,1.0
4369,Ad-Hoc Industry Natural Resource Management Group,Companies and groups,,,,,,,1.0
4370,UITP - International Association of Public Transport,Trade and business associations,16233.8095342129,78.0,,,,BE0544198506,3.0
4371,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,Companies and groups,,,,,,,5.0
4372,Associazione Bancaria Italiana,Trade and business associations,,,ASSOCIAZIONE BANCARIA ITALIANA,,,IT02088180589,20.0
4373,Lietuvos vidutinių pieno ūkių asociacija,Trade and business associations,,,,,,LT304877875,4.0
4374,DIGITALEUROPE,Trade and business associations,8061.70451049089,33.0,,,,BE0471476121,42.0
4375,GROUPE SOS SOLIDARITES-ASSFAM,"Non-governmental organisations, platforms and networks and similar",,,GROUPE SOS SOLIDARITES,,,FR341062404,2.0
4376,Irish Funds Industry Association CLG,Trade and business associations,4308.80458190203,18.0,,,,IE339784,5.0
4377,RECHARGE aisbl,Trade and business associations,,,,,,BE0880072189,1.0
4378,H & M Hennes & Mauritz AB,Companies and groups,21213383.5386634,106522.0,MR STEFAN PERSSON,,,SE5560427220,13.0
4379,Satispay Europe SA,Companies and groups,,,SATISPAY S.P.A.,11.0,183.0,LULB229149,5.0
4380,Europäisches Zentrum für Presse- und Medienfreiheit,"Non-governmental organisations, platforms and networks and similar",,8.0,,,,DE3150527136,11.0
4381,Industriegewerkschaft Metall,Trade unions and professional associations,,,INDUSTRIEGEWERKSCHAFT METALL,,,DE*844645695,12.0
4382,Valneva,Companies and groups,401939.484354258,778.0,VALNEVA,402.0,778.0,FR422497560,2.0
4383,John Deere GmbH&Co.Kg,Companies and groups,9300007.59161711,10118.0,DEERE & CO,52179.0,82200.0,DE7170326896,2.0
4384,Thermo Fisher Scientific,Companies and groups,44915000.0,130000.0,THERMO FISHER SCIENTIFIC INC.,44915.0,130000.0,US042209186,3.0
4385,Green Hydrogen Systems,Companies and groups,1972.40461277962,276.0,,,,DK30548701,1.0
4386,Instituto Francisco Sá Carneiro,Think tanks and research institutions,,,,,,PT501101268,2.0
4387,ARDIAN France,Companies and groups,623576.255511594,,DIRIGEANTS ET SALARIES,,,FR403201882,4.0
4388,Chamber of Commerce of the United States of America,Trade and business associations,108000.0,580.0,,,,US256631390L,15.0
4389,Norsk Hydro,Companies and groups,21443002.5971532,32014.0,NORSK HYDRO ASA,21443.0,32014.0,NO914778271,8.0
4390,EDANA AISBL,Trade and business associations,,,,,,,4.0
4391,Revaluate OÜ,Companies and groups,37.1869911581278,1.0,KERLI KANT HVASS,,,EE16073596,3.0
4392,ENGIE,Companies and groups,114982624.632716,96454.0,ENGIE,114983.0,96454.0,FR542107651,34.0
4393,Platform P.O.P.,,,,,,,AU609599082,1.0
4394,GLOBSEC,"Non-governmental organisations, platforms and networks and similar",2635.81585316718,13.0,,,,SK50638262,12.0
4395,Merck,Companies and groups,24087016.2433386,64232.0,FAMILY MERCK,,,DE6050108507,11.0
4396,Association of European Journalists,,5.07547792434692,,,,,IE441938,3.0
4397,Alliance Maçonnique Européenne,"Non-governmental organisations, platforms and networks and similar",,,,,,BE0682447458,1.0
4398,Bundesverband deutscher Banken e.V.,Trade and business associations,,160.0,BUNDESVERBAND DEUTSCHER BANKEN E.V.,,160.0,DE2011115242,29.0
4399,N.V. Nederlandse Gasunie,Companies and groups,2407955.00469208,1707.0,THE STATE OF THE NETHERLANDS,,,NL02029700,13.0
4400,Women's Network for Change,"Non-governmental organisations, platforms and networks and similar",,, ,,,FR831215462,1.0
4401,Fédération Nationale des Syndicats d'Exploitants Agricoles,Trade unions and professional associations,,,FEDERATION NATIONALE DES SYNDICATS D EXPLOITATIONS AGRICOLES,,,FR530810944,6.0
4402,The European Environment and Sustainable Development Advisory Councils Network,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
4403,Swedish Society for Nature Conservation,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
4404,Médecins du monde Belgique,"Non-governmental organisations, platforms and networks and similar",,3.0,,,,BE0565943035,4.0
4405,Eurorégion pyrénées mediterranée,,,,GECT EUROREGION PYRENEES-MEDITERRANEE,,,FR130007511,2.0
4406,Air Transport Action Group,Trade and business associations,,,AIR TRANSPORTATION,,,US126559945L,1.0
4407,FONDATION pour la PROSPECTIVE ET l'INNOVATION,,666.411827509403,,,,,FR379606833,1.0
4408,Jastrzębska Spółka Węglowa S.A.,Companies and groups,4644781.79098964,30739.0,GOVERNEMENT OF THE REPUBLIC OF POLAND - MINISTERSTWO SKARBU PANSTWA,,,PL271747631,1.0
4409,European Civic Forum,"Non-governmental organisations, platforms and networks and similar",,,,,,,7.0
4410,Reuse and Recycling European Union Social Enterprises,"Non-governmental organisations, platforms and networks and similar",,7.0,,,,BE0474728985,8.0
4411,Solidaris - Union Nationale des Mutualités Socialistes - National Federation of Socialist Mutual Health Funds,Companies and groups,,750.0,,,,BE0411724220,1.0
4412,FEDERACIÓN ANDALUCÍA ACOGE,"Non-governmental organisations, platforms and networks and similar",,,,,,ESG41516030,1.0
4413,Association of Electronic Toll and Interoperable Service,Trade and business associations,,,,,,BE0842030769,1.0
4414,Shopify Inc.,Companies and groups,5599864.0,11600.0,SHOPIFY INC,5600.0,11600.0,CA40751NC,4.0
4415,CEMA - European Agricultural Machinery Industry Association,Trade and business associations,,,,,,,6.0
4416,Kaiserwetter Energy Asset Management,,1481.13951231703,13.0,WPO,,,ESB95568002,1.0
4417,ROTARY INTERNATIONAL,"Non-governmental organisations, platforms and networks and similar",103000.0,500.0,ROTARY INTERNATIONAL,103.0,500.0,US149177264L,3.0
4418,Johnson & Johnson,Companies and groups,94943000.0,152700.0,JOHNSON & JOHNSON,94943.0,152700.0,US221024240,8.0
4419,Federation of European Aquaculture Producers,Trade and business associations,,,,,,,3.0
4420,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,Think tanks and research institutions,,219.0,,,,DE8170012757,3.0
4421,Samaritan International,"Non-governmental organisations, platforms and networks and similar",13747.6785430984,59.0,SAMARITAN'S PURSE INTERNATIONAL LIMITED,14.0,59.0,GB02462257,2.0
4422,Confedratia Nationala a Sindicatelor libere din Romania - Fratia,Trade unions and professional associations,,,,,,,2.0
4423,Fair Trials,"Non-governmental organisations, platforms and networks and similar",80.0,2.0,,,,US292980854L,2.0
4424,Teva Pharmaceuticals Europe BV,Companies and groups,353379.224131107,141.0,TEVA PHARMACEUTICAL INDUSTRIES LIMITED,15014.0,36520.0,NL30110625,4.0
4425,European Chamber of Commerce Taiwan,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
4426,Capgemini Invent - the Netherlands,Professional consultancies,,,,,,,18.0
4427,Citizens' Climate Europe,"Non-governmental organisations, platforms and networks and similar",,,,,,NL75935732,3.0
4428,"Banco Comercial Português, S.A.",Trade and business associations,3355734.24335897,15743.0,"BANCO COMERCIAL PORTUGUÊS, SA",3285.0,15743.0,PT501525882,1.0
4429,Equinor ASA,Companies and groups,150806000.0,21500.0,GOVERNMENT OF NORWAY,,,NO923609016,24.0
4430,National Council for Small and Medium Sized Private Enterprises in Romania,Trade and business associations,,,,,,,2.0
4431,"Association Européenne des Expositions Scientifiques, Techniques et Industrielles","Non-governmental organisations, platforms and networks and similar",,11.0,,,,BE0443655135,1.0
4432,UBS Group AG,Companies and groups,,35.0,UBS GROUP AG,,35.0,CHCHE395345924,8.0
4433,World Organization of the Scout Movement - Bureau Européen du Scoutisme,"Non-governmental organisations, platforms and networks and similar",,,,,,,4.0
4434,PROVACUNO,"Other organisations, public or mixed entities",,,,,,,1.0
4435,"Mouvement d'Affirmation des Jeunes Lesbiennes, Gais, Bi et Trans",,,, ,,,FR404434870,1.0
4436,European Association of Urology,"Non-governmental organisations, platforms and networks and similar",,,EUROPEAN ASSOCIATION OF UROLOGY,,,CHLEI1327692,1.0
4437,Energy Transitions Commission,Trade and business associations,,,,,,,7.0
4438,European Energy Retailers - Network of Independent Energy and Solution Providers,Trade and business associations,,,,,,BE0691719866,3.0
4439,Future For Nature,"Non-governmental organisations, platforms and networks and similar",,,,,,NL41049260,1.0
4440,E-PortLiner Holding B.V.,Companies and groups,,,STICHTING ADMINISTRATIEKANTOOR E-PORTLINER HOLDING,,,NL68178638,1.0
4441,Cleantech for Europe,"Non-governmental organisations, platforms and networks and similar",,,,,,,4.0
4442,Związek Pracodawców Business & Science Poland,Trade and business associations,2549.50741271675,9.0,,,,PL382582948,2.0
4443,Unione Italiana Vini,Trade and business associations,38221.4344530916,64.0,UNIONE ITALIANA VINI SERVIZI SOCIETA' COOPERATIVA,38.0,64.0,IT00868400151,1.0
4444,Allied for Startups asbl,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0652643813,3.0
4445,Pracownia na rzecz Wszystkich Istot,"Non-governmental organisations, platforms and networks and similar",336.699510499835,,,,,PL070028248,2.0
4446,Nationaal Circulair Testcentrum,,,,,,,NL76716295,1.0
4447,Telekom Austria AG,Companies and groups,5338326.17233515,17906.0,SLIM FAMILY,,,AT9110245031,2.0
4448,Pro Silva Europa,"Non-governmental organisations, platforms and networks and similar",,,,,,DK38424181,1.0
4449,Heidelberg Materials (HeidelbergCement AG),Companies and groups,22873119.3657517,50780.0,HEIDELBERG MATERIALS AG,22873.0,50780.0,DE7050000100,9.0
4450,European Cultural and Creative Industries Alliance,Trade and business associations,,,,,,,2.0
4451,FH Europe,"Non-governmental organisations, platforms and networks and similar",288.013832330704,5.0,,,,BE0418264790,1.0
4452,TUI AG,Companies and groups,16178859.8497331,61091.0,TUI AG,16179.0,61091.0,DE2190004116,18.0
4453,Swedish Union of Journalists (Journalistförbundet),Trade unions and professional associations,,,,,,,1.0
4454,European Steel Technology Platform,"Non-governmental organisations, platforms and networks and similar",516.937041379809,1.0,,,,BE0697948355,3.0
4455,EGALE Egalité-laïcité-Europe,Think tanks and research institutions,,, ,,,FR479941064,3.0
4456,European Union for Responsible Incineration and Treatment of Special Waste,Trade and business associations,,,,,,BE0880269357,2.0
4457,Leaseurope,Trade and business associations,,5.0,,,,BE0413032334,10.0
4458,PLATFORMA,Associations and networks of public authorities,,1.0,HREF FOUNDATION,,,NL34218242,8.0
4459,The European Organisation for Packaging and the Environment,Trade and business associations,,7.0,,,,BE0450413857,10.0
4460,Eindhoven University of Technology,Academic institutions,,,,,,,1.0
4461,Diehl Stiftung & Co. KG,Companies and groups,3812325.839324,16073.0,DIEHL STIFTUNG & CO. KG,3812.0,16073.0,DE8190000498,2.0
4462,"ČEZ, a.s.",,12744119.1863716,28727.0,CZECH REPUBLIC,,,CZ45274649,5.0
4463,EUROCONSUMERS AISBL,"Non-governmental organisations, platforms and networks and similar",3833.54723453522,3.0,,,,BR05945058000121,1.0
4464,Irish Human Rights and Equality Commission.,Associations and networks of public authorities,,,,,,,1.0
4465,TIAO SA,Companies and groups,7.66709446907043,3.0,,,,BR48757377000116,1.0
4466,EUROPEAN ORGANISATION FOR RARE DISEASES,"Non-governmental organisations, platforms and networks and similar",,,,,,,10.0
4467,SMA Solar Technology AG,Companies and groups,1193110.98675966,4114.0,SMA SOLAR TECHNOLOGY AG,1193.0,4114.0,DE6150026135,4.0
4468,All Out Action Fund Inc.,,1566.13865918708,,,,,IE909139,1.0
4469,European Express Association,Trade and business associations,,,,,,BE0439747916,2.0
4470,Association of the European Heating Industry,Trade and business associations,,8.0,,,,BE0869856507,4.0
4471,Testbiotech,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,DE8170853487,5.0
4472,International Emissions Trading Association,Trade and business associations,100.0,2.0,INTERNATIONAL EMISSIONS TRADING ASSOCIATION-USA,0.0,2.0,US292973459L,2.0
4473,Trans Oceanic Wind Transport,,,,,,,,1.0
4474,Association of Commercial Television and Video on Demand Services in Europe,Trade and business associations,,6.0,,,,BE0438023393,10.0
4475,Deutscher Fussball-Bund e.V.,Associations and networks of public authorities,443846.133015897,491.0,DEUTSCHER FUßBALL-BUND (DFB) E.V.,444.0,491.0,DE6070097430,3.0
4476,European Association for Business and Commerce,Trade and business associations,,,,,,,1.0
4477,association pour l'unification du droit des affaires en Europe,,,,,,,,1.0
4478,Central European University,,630.0,3.0,,,,US136765914L,2.0
4479,BRAL Stadsbeweging voor Brussel,"Non-governmental organisations, platforms and networks and similar",,7.0,,,,BE0413744986,2.0
4480,KGHM Polska Miedź Spółka Akcyjna,Companies and groups,7797037.76147962,33654.0,KGHM POLSKA MIEDZ SA,7797.0,33654.0,PL390021764,2.0
4481,ASSOCIACIO D'AMFITRIONS DE LLARS COMPARTIDES DE CATALUNYA,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
4482,THALES,Companies and groups,20679550.8581996,76776.0,THALES,20680.0,76776.0,FR552059024,7.0
4483,Branchevereniging Cadeaukaarten Nederland,Trade and business associations,,,,,,NL69194572,1.0
4484,China-Europe Association for Technical and Economic Cooperation,,,,,,,,1.0
4485,Bizum,Trade and business associations,34611.7998973918,7.0,,,,ESB87599478,2.0
4486,Oettinger Consulting Wirtschafts- und Politikberatung GmbH,Professional consultancies,,,,,,DE2151926818,2.0
4487,European Health Parliament,"Non-governmental organisations, platforms and networks and similar",,,,,,,2.0
4488,Forum of European Muslim Youth and Student organisations,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0477992838,2.0
4489,European Associations of Fish Processors and European Federation of National Organisations of Fish Importers and Exporters,Trade and business associations,,,,,,,6.0
4490,Women Engage for a Common Future,"Non-governmental organisations, platforms and networks and similar",,4.0,,,,DE8170814006,3.0
4491,Umweltorganisation WWF Central and Eastern Erurope,"Non-governmental organisations, platforms and networks and similar",,,,,,,19.0
4492,INSTITUT FMES,,,, ,,,FR379458995,1.0
4493,"Tietmeyer, Wolgast & Partner Berlin Politikberatung PartG",Professional consultancies,,,,,,DE2013090050,3.0
4494,Deutsche Schutzvereinigung für Wertpapierbesitz e.V.,"Non-governmental organisations, platforms and networks and similar",,9.0,DEUTSCHE SCHUTZVEREINIGUNG FÜR WERTPAPIERBESITZ E.V.,,9.0,DE5050074800,1.0
4495,Asociación de Instituciones de Inversión Colectiva y Fondos de Pensiones,Trade and business associations,,,,,,ESG28888824,1.0
4496,European Federation of Journalists,Trade unions and professional associations,,,,,,,11.0
4497,Europäisches Zentrum für Arbeitnehmerfragen,"Non-governmental organisations, platforms and networks and similar",,,,,,LULF1057,3.0
4498,CEBRE - Czech Business Representation to the EU in Brussels,Trade and business associations,,,,,,,1.0
4499,Airlines International Representation in Europe,Trade and business associations,,,,,,BE0424052821,3.0
4500,Le Mouvement associatif,"Non-governmental organisations, platforms and networks and similar",,, ,,,FR430349100,1.0
4501,HELLENIC CHAMBER OF HOTELS,,,,,,,,4.0
4502,APc - Affaires Publiques consultants,Professional consultancies,2915.74009576082,,MR JEAN-CHRISTOPHE ADIER VIVIE,,,FR479189235,1.0
4503,Global StartupCities,,,,,,,ESG74460304,2.0
